uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade
GO,52018,São Patrício II,2019,10,171
GO,52017,Sul,2019,09,230
GO,52006,Nordeste I,2019,09,54
GO,52007,Nordeste II,2019,09,106
GO,52018,São Patrício II,2019,09,196
GO,52010,Oeste II,2019,09,99
GO,52003,Entorno Norte,2019,09,301
GO,52011,Pirineus,2019,09,650
GO,52008,Norte,2019,09,135
GO,52016,Sudoeste II,2019,09,288
GO,52012,Rio Vermelho,2019,09,200
GO,52009,Oeste I,2019,09,99
GO,52013,São Patrício I,2019,09,149
GO,52004,Entorno Sul,2019,09,1079
GO,52014,Serra da Mesa,2019,09,111
GO,52005,Estrada de Ferro,2019,09,272
GO,52015,Sudoeste I,2019,09,500
GO,52002,Centro Sul,2019,09,1139
GO,52001,Central,2019,09,2106
GO,52014,Serra da Mesa,2019,08,110
GO,52015,Sudoeste I,2019,08,492
GO,52011,Pirineus,2019,08,652
GO,52006,Nordeste I,2019,08,55
GO,52005,Estrada de Ferro,2019,08,351
GO,52016,Sudoeste II,2019,08,242
GO,52003,Entorno Norte,2019,08,294
GO,52018,São Patrício II,2019,08,190
GO,52004,Entorno Sul,2019,08,1074
GO,52013,São Patrício I,2019,08,168
GO,52007,Nordeste II,2019,08,133
GO,52008,Norte,2019,08,149
GO,52012,Rio Vermelho,2019,08,238
GO,52002,Centro Sul,2019,08,1051
GO,52009,Oeste I,2019,08,123
GO,52017,Sul,2019,08,267
GO,52010,Oeste II,2019,08,93
GO,52001,Central,2019,08,2114
GO,52013,São Patrício I,2019,07,192
GO,52018,São Patrício II,2019,07,195
GO,52007,Nordeste II,2019,07,124
GO,52015,Sudoeste I,2019,07,542
GO,52004,Entorno Sul,2019,07,1060
GO,52002,Centro Sul,2019,07,1078
GO,52005,Estrada de Ferro,2019,07,309
GO,52016,Sudoeste II,2019,07,301
GO,52001,Central,2019,07,2238
GO,52011,Pirineus,2019,07,649
GO,52014,Serra da Mesa,2019,07,121
GO,52003,Entorno Norte,2019,07,309
GO,52010,Oeste II,2019,07,115
GO,52012,Rio Vermelho,2019,07,234
GO,52006,Nordeste I,2019,07,60
GO,52017,Sul,2019,07,272
GO,52009,Oeste I,2019,07,123
GO,52008,Norte,2019,07,141
GO,52010,Oeste II,2019,06,127
GO,52009,Oeste I,2019,06,101
GO,52008,Norte,2019,06,146
GO,52001,Central,2019,06,2128
GO,52018,São Patrício II,2019,06,192
GO,52015,Sudoeste I,2019,06,513
GO,52007,Nordeste II,2019,06,121
GO,52003,Entorno Norte,2019,06,291
GO,52006,Nordeste I,2019,06,62
GO,52005,Estrada de Ferro,2019,06,318
GO,52013,São Patrício I,2019,06,153
GO,52014,Serra da Mesa,2019,06,144
GO,52002,Centro Sul,2019,06,1101
GO,52012,Rio Vermelho,2019,06,208
GO,52011,Pirineus,2019,06,640
GO,52017,Sul,2019,06,289
GO,52004,Entorno Sul,2019,06,1002
GO,52016,Sudoeste II,2019,06,279
GO,52010,Oeste II,2019,05,140
GO,52012,Rio Vermelho,2019,05,228
GO,52004,Entorno Sul,2019,05,1073
GO,52003,Entorno Norte,2019,05,332
GO,52009,Oeste I,2019,05,116
GO,52016,Sudoeste II,2019,05,300
GO,52007,Nordeste II,2019,05,133
GO,52014,Serra da Mesa,2019,05,139
GO,52008,Norte,2019,05,156
GO,52006,Nordeste I,2019,05,59
GO,52017,Sul,2019,05,304
GO,52002,Centro Sul,2019,05,1192
GO,52013,São Patrício I,2019,05,198
GO,52011,Pirineus,2019,05,705
GO,52015,Sudoeste I,2019,05,610
GO,52005,Estrada de Ferro,2019,05,344
GO,52018,São Patrício II,2019,05,215
GO,52001,Central,2019,05,2380
GO,52001,Central,2019,04,2211
GO,52018,São Patrício II,2019,04,209
GO,52005,Estrada de Ferro,2019,04,366
GO,52009,Oeste I,2019,04,133
GO,52006,Nordeste I,2019,04,73
GO,52002,Centro Sul,2019,04,1108
GO,52013,São Patrício I,2019,04,174
GO,52015,Sudoeste I,2019,04,586
GO,52007,Nordeste II,2019,04,129
GO,52003,Entorno Norte,2019,04,320
GO,52014,Serra da Mesa,2019,04,153
GO,52017,Sul,2019,04,283
GO,52011,Pirineus,2019,04,661
GO,52008,Norte,2019,04,163
GO,52012,Rio Vermelho,2019,04,218
GO,52010,Oeste II,2019,04,126
GO,52004,Entorno Sul,2019,04,1109
GO,52016,Sudoeste II,2019,04,335
GO,52008,Norte,2019,03,157
GO,52016,Sudoeste II,2019,03,316
GO,52009,Oeste I,2019,03,132
GO,52010,Oeste II,2019,03,115
GO,52004,Entorno Sul,2019,03,1149
GO,52012,Rio Vermelho,2019,03,243
GO,52005,Estrada de Ferro,2019,03,356
GO,52015,Sudoeste I,2019,03,561
GO,52007,Nordeste II,2019,03,112
GO,52006,Nordeste I,2019,03,60
GO,52011,Pirineus,2019,03,736
GO,52014,Serra da Mesa,2019,03,143
GO,52003,Entorno Norte,2019,03,353
GO,52001,Central,2019,03,2387
GO,52017,Sul,2019,03,288
GO,52018,São Patrício II,2019,03,228
GO,52002,Centro Sul,2019,03,1202
GO,52013,São Patrício I,2019,03,190
GO,52007,Nordeste II,2019,02,111
GO,52008,Norte,2019,02,132
GO,52003,Entorno Norte,2019,02,301
GO,52013,São Patrício I,2019,02,166
GO,52014,Serra da Mesa,2019,02,134
GO,52009,Oeste I,2019,02,115
GO,52011,Pirineus,2019,02,669
GO,52018,São Patrício II,2019,02,224
GO,52017,Sul,2019,02,268
GO,52015,Sudoeste I,2019,02,508
GO,52010,Oeste II,2019,02,130
GO,52012,Rio Vermelho,2019,02,213
GO,52016,Sudoeste II,2019,02,287
GO,52005,Estrada de Ferro,2019,02,350
GO,52006,Nordeste I,2019,02,43
GO,52004,Entorno Sul,2019,02,1040
GO,52002,Centro Sul,2019,02,1098
GO,52001,Central,2019,02,2248
GO,52004,Entorno Sul,2019,01,1091
GO,52012,Rio Vermelho,2019,01,271
GO,52007,Nordeste II,2019,01,137
GO,52002,Centro Sul,2019,01,1180
GO,52001,Central,2019,01,2439
GO,52008,Norte,2019,01,144
GO,52009,Oeste I,2019,01,126
GO,52010,Oeste II,2019,01,135
GO,52018,São Patrício II,2019,01,215
GO,52003,Entorno Norte,2019,01,322
GO,52006,Nordeste I,2019,01,49
GO,52013,São Patrício I,2019,01,197
GO,52016,Sudoeste II,2019,01,298
GO,52011,Pirineus,2019,01,627
GO,52014,Serra da Mesa,2019,01,124
GO,52017,Sul,2019,01,280
GO,52015,Sudoeste I,2019,01,555
GO,52005,Estrada de Ferro,2019,01,334
